date,ticker,action,shares,price,value,reason
2026-07-13,TSM,SELL,7.776813,421.33,3276.6,"Dropped from top 3 (rank #4, +19.9%)"
2026-07-13,NVO,SELL,0.001789,49.28,0.09,"Trim to equal weight (+39.4% 90d momentum, rank #1)"
2026-07-13,ASML,SELL,0.000245,1726.04,0.42,"Trim to equal weight (+27.1% 90d momentum, rank #2)"
2026-07-13,AAPL,BUY,0.001608,317.31,0.51,"Add to position — rank #3 (+20.4% 90d momentum, rank #3)"
2026-07-20,NVO,BUY,0.046432,50.055,2.32,"Add to position — rank #1 (+34.0% 90d momentum, rank #1)"
2026-07-20,ASML,BUY,0.020293,1735.905,35.23,"Add to position — rank #2 (+25.8% 90d momentum, rank #2)"
2026-07-20,AAPL,SELL,0.115133,326.15,37.55,"Trim to equal weight (+25.2% 90d momentum, rank #3)"
2026-07-20,NVO,BUY,0.150812,49.89,7.52,"Add to position — rank #1 (+33.6% 90d momentum, rank #1)"
2026-07-20,ASML,SELL,0.007613,1740.98,13.25,"Trim to equal weight (+26.1% 90d momentum, rank #2)"
2026-07-20,AAPL,BUY,0.017618,325.25,5.73,"Add to position — rank #3 (+24.8% 90d momentum, rank #3)"
2026-07-20,NVO,BUY,0.215203,49.68,10.69,"Add to position — rank #1 (+33.0% 90d momentum, rank #1)"
2026-07-20,ASML,BUY,0.002924,1736.58,5.08,"Add to position — rank #2 (+25.8% 90d momentum, rank #2)"
2026-07-20,AAPL,SELL,0.048306,326.46,15.77,"Trim to equal weight (+25.3% 90d momentum, rank #3)"
2026-07-20,NVO,BUY,0.10351,49.61,5.14,"Add to position — rank #1 (+32.8% 90d momentum, rank #1)"
2026-07-20,ASML,SELL,0.002441,1739.02,4.25,"Trim to equal weight (+26.0% 90d momentum, rank #2)"
2026-07-20,AAPL,SELL,0.002724,326.59,0.89,"Trim to equal weight (+25.3% 90d momentum, rank #3)"
2026-07-27,NVO,SELL,0.547002,49.495,27.07,"Trim to equal weight (+33.5% 90d momentum, rank #1)"
2026-07-27,AAPL,SELL,0.430527,337.41,145.26,"Trim to equal weight (+32.8% 90d momentum, rank #2)"
2026-07-27,SIEGY,BUY,21.208162,155.57,3299.35,"New entry — rank #3 (+23.0% 90d momentum, rank #3)"
2026-07-27,ASML,SELL,1.917262,1630.98,3127.02,"Dropped from top 3 (rank #4, +17.7%)"
2026-07-27,NVO,SELL,0.32157,49.725,15.99,"Trim to equal weight (+34.1% 90d momentum, rank #1)"
2026-07-27,AAPL,BUY,0.053414,335.51,17.92,"Add to position — rank #2 (+32.1% 90d momentum, rank #2)"
2026-07-27,SIEGY,SELL,0.012406,155.63,1.93,"Trim to equal weight (+23.1% 90d momentum, rank #3)"
2026-07-27,NVO,BUY,0.159069,49.7175,7.91,"Add to position — rank #1 (+34.1% 90d momentum, rank #1)"
2026-07-27,AAPL,SELL,0.008362,336.55,2.81,"Trim to equal weight (+32.5% 90d momentum, rank #2)"
2026-07-27,SIEGY,SELL,0.03261,156.22,5.09,"Trim to equal weight (+23.5% 90d momentum, rank #3)"
2026-07-27,NVO,BUY,0.049087,49.67,2.44,"Add to position — rank #1 (+34.0% 90d momentum, rank #1)"
2026-07-27,AAPL,SELL,0.012636,336.91,4.26,"Trim to equal weight (+32.6% 90d momentum, rank #2)"
2026-07-27,SIEGY,BUY,0.011652,156.1,1.82,"Add to position — rank #3 (+23.4% 90d momentum, rank #3)"
2026-08-03,AMZN,BUY,11.224379,284.7,3195.58,"New entry — rank #1 (+37.4% 90d momentum, rank #1)"
2026-08-03,SIEGY,SELL,1.733411,164.37,284.92,"Trim to equal weight (+35.8% 90d momentum, rank #2)"
2026-08-03,NVO,BUY,1.946922,46.655,90.83,"Add to position — rank #3 (+31.1% 90d momentum, rank #3)"
2026-08-03,AAPL,SELL,9.810887,305.935,3001.49,"Dropped from top 3 (rank #6, +21.7%)"
2026-08-03,AMZN,BUY,0.080726,282.7,22.82,"Add to position — rank #1 (+36.4% 90d momentum, rank #1)"
2026-08-03,SIEGY,SELL,0.011919,164.49,1.96,"Trim to equal weight (+35.9% 90d momentum, rank #2)"
2026-08-03,NVO,SELL,0.444174,46.965,20.86,"Trim to equal weight (+32.0% 90d momentum, rank #3)"
2026-08-03,AMZN,SELL,0.01313,284.02,3.73,"Trim to equal weight (+37.0% 90d momentum, rank #1)"
2026-08-03,SIEGY,BUY,0.004251,165.03,0.7,"Add to position — rank #2 (+36.3% 90d momentum, rank #2)"
2026-08-03,NVO,BUY,0.064299,47.085,3.03,"Add to position — rank #3 (+32.3% 90d momentum, rank #3)"
2026-08-03,AMZN,SELL,0.000512,284.02,0.15,"Trim to equal weight (+37.0% 90d momentum, rank #1)"
2026-08-03,SIEGY,BUY,0.003829,164.99,0.63,"Add to position — rank #2 (+36.3% 90d momentum, rank #2)"
2026-08-03,NVO,SELL,0.010325,47.09,0.49,"Trim to equal weight (+32.3% 90d momentum, rank #3)"
2026-08-10,MSFT,BUY,6.186354,509.74,3153.43,"New entry — rank #1 (+38.0% 90d momentum, rank #1)"
2026-08-10,AMZN,BUY,0.059985,277.8,16.66,"Add to position — rank #2 (+33.4% 90d momentum, rank #2)"
2026-08-10,ASML,BUY,1.806191,1745.9016,3153.43,"New entry — rank #3 (+32.6% 90d momentum, rank #3)"
2026-08-10,SIEGY,SELL,19.437548,159.95,3109.04,"Dropped from top 3 (rank #4, +31.2%)"
2026-08-10,NVO,SELL,68.103656,47.2,3214.49,"Dropped from top 3 (rank #6, +28.4%)"
2026-08-10,MSFT,BUY,0.013015,511.015,6.65,"Add to position — rank #1 (+38.3% 90d momentum, rank #1)"
2026-08-10,AMZN,SELL,0.009723,279.32,2.72,"Trim to equal weight (+34.1% 90d momentum, rank #2)"
2026-08-10,ASML,SELL,0.002241,1756.13,3.94,"Trim to equal weight (+33.4% 90d momentum, rank #3)"
2026-08-10,MSFT,BUY,0.007755,507.475,3.94,"Add to position — rank #1 (+37.4% 90d momentum, rank #1)"
2026-08-10,AMZN,BUY,0.010302,277.48,2.86,"Add to position — rank #2 (+33.2% 90d momentum, rank #2)"
2026-08-10,ASML,SELL,0.003883,1749.9125,6.79,"Trim to equal weight (+32.9% 90d momentum, rank #3)"
2026-08-10,MSFT,BUY,0.009975,505.41,5.04,"Add to position — rank #1 (+36.8% 90d momentum, rank #1)"
2026-08-10,AMZN,BUY,0.002124,276.7432,0.59,"Add to position — rank #2 (+32.9% 90d momentum, rank #2)"
2026-08-10,ASML,SELL,0.003219,1748.72,5.63,"Trim to equal weight (+32.9% 90d momentum, rank #3)"
2026-08-10,MSFT,BUY,0.005695,505.66,2.88,"Add to position — rank #1 (+36.9% 90d momentum, rank #1)"
2026-08-10,ASML,SELL,0.002702,1753.825,4.74,"Trim to equal weight (+33.2% 90d momentum, rank #2)"
2026-08-10,AMZN,BUY,0.006712,276.97,1.86,"Add to position — rank #3 (+33.0% 90d momentum, rank #3)"
2026-08-10,MSFT,SELL,0.018941,506.06,9.59,"Trim to equal weight (+37.0% 90d momentum, rank #1)"
2026-08-10,AMZN,SELL,0.071274,278.09,19.82,"Trim to equal weight (+33.5% 90d momentum, rank #2)"
2026-08-10,ASML,BUY,0.016963,1733.48,29.41,"Add to position — rank #3 (+31.7% 90d momentum, rank #3)"
2026-08-17,ASML,SELL,0.150168,1872.4399,281.18,"Trim to equal weight (+32.2% 90d momentum, rank #1)"
2026-08-17,MSFT,BUY,0.243642,482.36,117.52,"Add to position — rank #2 (+29.1% 90d momentum, rank #2)"
2026-08-17,NVDA,BUY,13.721655,226.65,3110.01,"New entry — rank #3 (+24.6% 90d momentum, rank #3)"
2026-08-17,AMZN,SELL,11.289587,260.98,2946.36,"Dropped from top 3 (rank #7, +18.0%)"
2026-08-17,ASML,SELL,0.003883,1877.3,7.29,"Trim to equal weight (+32.6% 90d momentum, rank #1)"
2026-08-17,MSFT,SELL,0.005591,482.9,2.7,"Trim to equal weight (+29.3% 90d momentum, rank #2)"
2026-08-17,NVDA,BUY,0.044204,225.979,9.99,"Add to position — rank #3 (+24.3% 90d momentum, rank #3)"
2026-08-17,ASML,BUY,0.001946,1881.8099,3.66,"Add to position — rank #1 (+32.9% 90d momentum, rank #1)"
2026-08-17,MSFT,BUY,0.005434,484.22,2.63,"Add to position — rank #2 (+29.6% 90d momentum, rank #2)"
2026-08-17,NVDA,SELL,0.027692,227.245,6.29,"Trim to equal weight (+25.0% 90d momentum, rank #3)"
2026-08-17,ASML,BUY,0.002138,1881.63,4.02,"Add to position — rank #1 (+32.9% 90d momentum, rank #1)"
2026-08-17,MSFT,SELL,0.003791,485.0829,1.84,"Trim to equal weight (+29.9% 90d momentum, rank #2)"
2026-08-17,NVDA,SELL,0.00959,227.675,2.18,"Trim to equal weight (+25.2% 90d momentum, rank #3)"
2026-08-17,ASML,SELL,0.007393,1884.61,13.93,"Trim to equal weight (+33.1% 90d momentum, rank #1)"
2026-08-17,MSFT,BUY,0.024052,481.89,11.59,"Add to position — rank #2 (+29.0% 90d momentum, rank #2)"
2026-08-17,NVDA,BUY,0.010329,226.85,2.34,"Add to position — rank #3 (+24.7% 90d momentum, rank #3)"
2026-08-17,ASML,SELL,0.002458,1885.26,4.63,"Trim to equal weight (+33.1% 90d momentum, rank #1)"
2026-08-17,MSFT,BUY,0.023529,479.595,11.28,"Add to position — rank #2 (+28.4% 90d momentum, rank #2)"
2026-08-17,NVDA,SELL,0.029285,227.075,6.65,"Trim to equal weight (+24.9% 90d momentum, rank #3)"
